epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,2568.93,0.51405,0.38523,0.83493,0.99256,0.98919,0.99402,0.89074,0.5184,0.3369,0.84736,0.000502394,0.000502394,0.000502394
168,2584.42,0.51921,0.37841,0.83814,0.99212,0.99026,0.995,0.90749,0.48196,0.30998,0.83051,0.000498728,0.000498728,0.000498728
169,2599.52,0.51671,0.38598,0.83286,0.98641,1,0.995,0.90726,0.46567,0.3073,0.83163,0.000495062,0.000495062,0.000495062
170,2614.53,0.51403,0.37734,0.8415,0.9885,1,0.995,0.9069,0.51208,0.32168,0.84567,0.000491395,0.000491395,0.000491395
171,2630.52,0.5095,0.36611,0.82876,0.98449,1,0.995,0.91205,0.4572,0.32417,0.8295,0.000487729,0.000487729,0.000487729
172,2647.55,0.54408,0.39156,0.85777,0.99475,0.9901,0.995,0.91417,0.47072,0.31266,0.83719,0.000484063,0.000484063,0.000484063
173,2665.05,0.51872,0.37782,0.83239,0.99488,0.98975,0.995,0.91202,0.46558,0.31644,0.83552,0.000480396,0.000480396,0.000480396
174,2681.4,0.52397,0.38409,0.83126,0.99083,0.98991,0.995,0.90953,0.47592,0.31979,0.83595,0.00047673,0.00047673,0.00047673
175,2698,0.48804,0.36126,0.82987,0.98904,0.99053,0.995,0.90388,0.45011,0.31565,0.83247,0.000473064,0.000473064,0.000473064
176,2713.15,0.49622,0.35923,0.82514,0.98665,1,0.995,0.90524,0.44173,0.31179,0.83285,0.000469397,0.000469397,0.000469397
177,2729.09,0.4976,0.36746,0.82785,0.9838,1,0.995,0.90836,0.44891,0.31605,0.83354,0.000465731,0.000465731,0.000465731
178,2745.21,0.49629,0.36616,0.82738,0.98657,0.98919,0.99449,0.89268,0.5002,0.33418,0.84392,0.000462065,0.000462065,0.000462065
179,2761.83,0.50021,0.37363,0.84103,0.99257,0.98992,0.995,0.88531,0.53105,0.32166,0.8438,0.000458399,0.000458399,0.000458399
180,2778.6,0.50946,0.3712,0.83665,0.99596,0.98992,0.995,0.88728,0.51496,0.31427,0.84093,0.000454732,0.000454732,0.000454732
181,2796.04,0.51585,0.37877,0.8322,0.99561,0.98983,0.995,0.89301,0.5283,0.32331,0.84927,0.000451066,0.000451066,0.000451066
182,2811.78,0.50233,0.36767,0.83148,0.99424,0.98979,0.995,0.92456,0.44351,0.3052,0.83028,0.0004474,0.0004474,0.0004474
